p	section	time
1024	ISA to SA (samplesort)	1958.87
1024	SA to ISA (all2all)	1003.439875
1024	Algorithm 1 rest	171.0836125
1024	Algorithm 2	2161.489075
1024	LCP	1955.457438
1024	total	7250.34
512	ISA to SA (samplesort)	3221.6225
512	SA to ISA (all2all)	1453.0175
512	Algorithm 1 rest	283.129225
512	Algorithm 2	3328.413738
512	LCP	2707.242038
512	total	10993.425
256	ISA to SA (samplesort)	6102.493333
256	SA to ISA (all2all)	2630.351111
256	Algorithm 1 rest	525.2091111
256	Algorithm 2	4185.486111
256	LCP	4182.615889
256	total	17626.15556
128	ISA to SA (samplesort)	10850.9
128	SA to ISA (all2all)	4746.126
128	Algorithm 1 rest	985.9219
128	Algorithm 2	5065.7395
128	LCP	6999.4126
128	total	28648.1
64	ISA to SA (samplesort)	20734.38
64	SA to ISA (all2all)	8498.79
64	Algorithm 1 rest	1830.4807
64	Algorithm 2	6943.5734
64	LCP	12501.7159
64	total	50508.94
1280	ISA to SA (samplesort)	1911.04
1280	SA to ISA (all2all)	876.3043333
1280	Algorithm 1 rest	157.2588
1280	Algorithm 2	2147.501933
1280	LCP	1892.804933
1280	total	6984.91
1600	ISA to SA (samplesort)	1760.575
1600	SA to ISA (all2all)	761.82025
1600	Algorithm 1 rest	148.180175
1600	Algorithm 2	2102.344525
1600	LCP	1753.10505
1600	total	6526.025
